"(R,C,N)",R1C1,R1C2,R1C3,R1C4,R2C1,R2C2,R2C3,R2C4,R3C1,R3C2,R3C3,R3C4,R4C1,R4C2,R4C3,R4C4,R1N1,R1N2,R1N3,R1N4,R2N1,R2N2,R2N3,R2N4,R3N1,R3N2,R3N3,R3N4,R4N1,R4N2,R4N3,R4N4,C1N1,C1N2,C1N3,C1N4,C2N1,C2N2,C2N3,C2N4,C3N1,C3N2,C3N3,C3N4,C4N1,C4N2,C4N3,C4N4,B1N1,B1N2,B1N3,B1N4,B2N1,B2N2,B2N3,B2N4,B3N1,B3N2,B3N3,B3N4,B4N1,B4N2,B4N3,B4N4
"(1,1,1)",1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"(1,1,2)",1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"(1,1,3)",1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
"(1,1,4)",1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
"(1,2,1)",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"(1,2,2)",,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
"(1,2,3)",,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
"(1,2,4)",,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,
"(1,3,1)",,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
"(1,3,2)",,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
